n=151  E<=1.90e-14  rho(n)<=9.18e-14  sigma(n)<=1.38e-12  sum sigma<=1.38e-12  sum rho<=9.18e-14
n=200  E<=1.94e-21  rho(n)<=9.84e-21  sigma(n)<=1.48e-19  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=300  E<=7.00e-36  rho(n)<=3.90e-35  sigma(n)<=5.84e-34  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=400  E<=1.90e-50  rho(n)<=1.16e-49  sigma(n)<=1.73e-48  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=500  E<=4.37e-65  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=600  E<=9.09e-80  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=700  E<=1.77e-94  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=800  E<=3.27e-109  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=900  E<=5.79e-124  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1000  E<=9.97e-139  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1100  E<=1.68e-153  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1200  E<=2.76e-168  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1300  E<=4.45e-183  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1400  E<=7.09e-198  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1500  E<=1.12e-212  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1600  E<=1.74e-227  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1700  E<=2.67e-242  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
n=1800  E<=4.08e-257  rho(n)<=1.62e-59  sigma(n)<=2.43e-58  sum sigma<=4.96e-12  sum rho<=3.31e-13
