m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits,r25_hp,sinw_hp,tau_hp
1,9.048652972857244847e-2,0.268105780996,0.778533556695,4.1324822874,-0.2569564796,0.9999391245,438,-2.56956479617637663475150353386250032628926551139463467257432477123603508651256083258402600e-1,9.99939124508298275650684917663910629024926393475719176452997140580919424293572836495462478e-1,9.04865297285724472218829752608800122796042031594213314893432758834052211459793661902152040e-2
2,3.248006360894026973e-2,0.256234511532,0.760182783061,3.8565808803,0.2575635287,0.9999759942,443,2.57563528734167809335958841397798864141250670304217581154692674880523427196989939334626544e-1,9.99975994155382249007432910805668035329976658607713081543235725555712413398488243844041025e-1,3.24800636089402680138441151639422892845102482645419719394639553193479525411579138096928953e-2
3,1.655729376356225926e-2,0.253141840328,0.755182686973,3.7856463830,-0.2577407932,0.9999874918,449,-2.57740793175788485035998874042569663556352238411647860284538734238949258523121235904841698e-1,9.99987491753834096852032409861012836748165351024192841886923269265621422842084803365783733e-1,1.65572937635622604079834019874123636131843651981623863894234922708892052650858189159701727e-2
4,1.001256273046692569e-2,0.251890981353,0.753132050489,3.7570578973,0.2578164023,0.9999923710,454,2.57816402310015292745612677776992593136266663011988381768824287400433110539714791137962398e-1,9.99992371012455858895816200787550532733385577822137128115144590278282150820757811285122741e-1,1.00125627304669258715812039625720279712963662117821219765890639809933767875910759679821995e-2
5,6.701405056882906927e-3,0.251262609967,0.752095589923,3.7427180099,-0.2578553558,0.9999948723,459,-2.57855355827301912120559023122099061034296516226891513120440639557745593023795380420082722e-1,9.99994872268486654124587071480805302976947711426386602351089879152741213071459259526401785e-1,6.70140505688290715738964973708971247483883405262128056377644328769399599600528958184704907e-3
6,4.797543675591622175e-3,0.250902661810,0.751499950704,3.7345101767,0.2578779788,0.9999963202,465,2.57877978825391193663281354375020923232826468926094950221385924109292323465563864133710561e-1,9.99996320214089335856261615011756095223139141557272200637270123759372530620500855269661436e-1,4.79754367559162260031292054637610274953259062953987132399395734218851053594848351239875115e-3
7,3.603250557097398710e-3,0.250677370012,0.751126421120,3.7293752642,-0.2578922567,0.9999972321,470,-2.57892256654199898157471100072544356770595210456468191918536259759684777952363595441428453e-1,9.99997232112108088304129610275482531641291646322862269260712760288208573657088945431673872e-1,3.60325055709739882994976803567631864402431745887768715164605636082649315134118598196546317e-3
8,2.805175005266948365e-3,0.250527037024,0.750876862900,3.7259498480,0.2579018354,0.9999978430,475,2.57901835445362839373375399063720168530190123444116965565263954291858488522036811875788297e-1,9.99997843017325333939461885884428856882223800277631139058535239709433919854136832837374259e-1,2.80517500526694817902660333656954497565234769220767803663026067309239405232380859456647641e-3
9,2.245624532274110522e-3,0.250421738056,0.750701915154,3.7235510382,-0.2579085696,0.9999982721,481,-2.57908569608216053496133934236000682978145093918737707214975607288931978862352788395451555e-1,9.99998272069578214923539452800632010391424372707077076599891832255801502108864239207803212e-1,2.24562453227411058922017966474530930049904006769609751179765448044163874445230360049471807e-3
10,1.838213503601897380e-3,0.250345122923,0.750574547259,3.7218059229,0.2579134823,0.9999985848,486,2.57913482306835905571151117540841563740286117667496383899883305807129774257978089690323681e-1,9.99998584842560475118232318485726613583386039199119648662590421815794979347646407892310010e-1,1.83821350360189733387895567257373142710256512569587729439217198028675944857536838876524764e-3
11,1.532397753786105595e-3,0.250287642752,0.750478947648,3.7204967955,-0.2579171752,0.9999988198,491,-2.57917175237843839810939529858329925263959357166034396716618445631295711719468016052206343e-1,9.99998819828946717214085258710288364302649171223095518016281965444470923231841091829218762e-1,1.53239775378610563481448241211173978488786080466144906039169371493170564936109610110199995e-3
