m,tau,t1_over_tau,gatemargin_over_tau,boundC,R_over_tau25,abs_sinw,prec_bits,r25_hp,sinw_hp,tau_hp
1,9.048652972857244847e-2,0.268105780996,0.778533556695,4.1324822874,-0.2569564796,0.9999391245,438,-2.5695647961763766347515035338625003262892655e-1,9.9993912450829827565068491766391062902492639e-1,9.0486529728572447221882975260880012279604203e-2
2,3.248006360894026973e-2,0.256234511532,0.760182783061,3.8565808803,0.2575635287,0.9999759942,443,2.5756352873416780933595884139779886414125067e-1,9.9997599415538224900743291080566803532997666e-1,3.2480063608940268013844115163942289284510248e-2
3,1.655729376356225926e-2,0.253141840328,0.755182686973,3.7856463830,-0.2577407932,0.9999874918,449,-2.5774079317578848503599887404256966355635224e-1,9.9998749175383409685203240986101283674816535e-1,1.6557293763562260407983401987412363613184365e-2
4,1.001256273046692569e-2,0.251890981353,0.753132050489,3.7570578973,0.2578164023,0.9999923710,454,2.5781640231001529274561267777699259313626666e-1,9.9999237101245585889581620078755053273338558e-1,1.0012562730466925871581203962572027971296366e-2
5,6.701405056882906927e-3,0.251262609967,0.752095589923,3.7427180099,-0.2578553558,0.9999948723,459,-2.5785535582730191212055902312209906103429652e-1,9.9999487226848665412458707148080530297694771e-1,6.7014050568829071573896497370897124748388341e-3
6,4.797543675591622175e-3,0.250902661810,0.751499950704,3.7345101767,0.2578779788,0.9999963202,465,2.5787797882539119366328135437502092323282647e-1,9.9999632021408933585626161501175609522313914e-1,4.7975436755916226003129205463761027495325906e-3
7,3.603250557097398710e-3,0.250677370012,0.751126421120,3.7293752642,-0.2578922567,0.9999972321,470,-2.5789225665419989815747110007254435677059521e-1,9.9999723211210808830412961027548253164129165e-1,3.6032505570973988299497680356763186440243175e-3
8,2.805175005266948365e-3,0.250527037024,0.750876862900,3.7259498480,0.2579018354,0.9999978430,475,2.5790183544536283937337539906372016853019012e-1,9.9999784301732533393946188588442885688222380e-1,2.8051750052669481790266033365695449756523477e-3
9,2.245624532274110522e-3,0.250421738056,0.750701915154,3.7235510382,-0.2579085696,0.9999982721,481,-2.5790856960821605349613393423600068297814509e-1,9.9999827206957821492353945280063201039142437e-1,2.2456245322741105892201796647453093004990401e-3
10,1.838213503601897380e-3,0.250345122923,0.750574547259,3.7218059229,0.2579134823,0.9999985848,486,2.5791348230683590557115111754084156374028612e-1,9.9999858484256047511823231848572661358338604e-1,1.8382135036018973338789556725737314271025651e-3
11,1.532397753786105595e-3,0.250287642752,0.750478947648,3.7204967955,-0.2579171752,0.9999988198,491,-2.5791717523784383981093952985832992526395936e-1,9.9999881982894671721408525871028836430264917e-1,1.5323977537861056348144824121117397848878608e-3
12,1.297004527549051140e-3,0.250243416260,0.750405366465,3.7194896049,0.2579200209,0.9999990008,497,2.5792002087848803908097741049833489626193052e-1,9.9999900082509574113539876793712045859199819e-1,1.2970045275490511718988103389079465537054898e-3
13,1.111960917713157582e-3,0.250208660179,0.750347526414,3.7186981375,-0.2579222598,0.9999991432,502,-2.5792225975286789489271485036793371500692065e-1,9.9999914318126661852013822785792393934902374e-1,1.1119609177131575821677299420517299903556885e-3
14,9.638678341106890262e-4,0.250180851072,0.750301237723,3.7180648980,0.2579240528,0.9999992572,507,2.5792405276683210649795210942737737862885117e-1,9.9999925715806670464432481433068828519504066e-1,9.6386783411068905614843800089543465154126985e-4
15,8.435040938771510817e-4,0.250158253397,0.750263617258,3.7175503480,-0.2579255108,0.9999993498,513,-2.5792551084626374341118439549839586951048593e-1,9.9999934982436758649219694094333523073992659e-1,8.4350409387715109167243961902953761265051603e-4
16,7.443553477113373004e-4,0.250139641678,0.750232628357,3.7171265721,0.2579267125,0.9999994262,518,2.5792671246419701526698640210297820416686499e-1,9.9999942617829833747470909138644864366114595e-1,7.4435534771133724761789640589423702783423824e-4
17,6.617136778124200949e-4,0.250124130624,0.750206799205,3.7167734057,-0.2579277144,0.9999994898,523,-2.5792771439741225529146214700410766223172017e-1,9.9999948983452970817306507761100364339329268e-1,6.6171367781242005829019830876980696689791955e-4
18,5.921081981289138185e-4,0.250111067774,0.750185044766,3.7164759883,0.2579285585,0.9999995435,529,2.5792855854355549699771033293366876530928956e-1,9.9999954345949363579473307624031336278980841e-1,5.9210819812891380969191066928453917540982064e-4
19,5.329345564482051035e-4,0.250099963698,0.750166550923,3.7162231734,-0.2579292764,0.9999995891,534,-2.5792927636488002768776441605866548216596540e-1,9.9999958905488902526571491414868140843098422e-1,5.3293455644820510808221884432671113420256437e-4
20,4.822077200721810401e-4,0.250090445441,0.750150697178,3.7160064676,0.2579298919,0.9999996281,539,2.5792989185777129690065694205469018558250954e-1,9.9999962814702634293096437507755511390541057e-1,4.8220772007218105408097488931983584726900768e-4
21,4.383932966465752803e-4,0.250082224773,0.750137003910,3.7158193071,-0.2579304236,0.9999996619,544,-2.5793042358147175470931470570645152094470861e-1,9.9999966191612195877671352577832193381755632e-1,4.3839329664657527373443759569964710270385620e-4
22,4.002901187739209060e-4,0.250075076099,0.750125095669,3.7156565547,0.2579308861,0.9999996913,550,2.5793088607176835207936440525259465723405698e-1,9.9999969128635787259801802745721340013921081e-1,4.0029011877392090680056248184537640060379900e-4
23,3.669470302021846206e-4,0.250068820805,0.750114675154,3.7155141431,-0.2579312908,0.9999997170,555,-2.5793129084381577506355753498395605642156218e-1,9.9999971698974440691476120436209426317605770e-1,3.6694703020218462910616883096170455416041076e-4
24,3.376029441335416897e-4,0.250063315988,0.750105504481,3.7153888186,0.2579316471,0.9999997396,560,2.5793164711507995179440080877524076634273708e-1,9.9999973961214515220456550867311115764545631e-1,3.3760294413354168321524019397970079145003602e-4
25,3.116430220313455633e-4,0.250058446220,0.750097391479,3.7152779527,-0.2579319623,0.9999997596,566,-2.5793196233422294590460337638917774525183171e-1,9.9999975962693844286478589626846221244122529e-1,3.1164302203134556539452147964015494205957524e-4
26,2.885662020262808785e-4,0.250054117440,0.750090179540,3.7151794037,0.2579322426,0.9999997774,571,2.5793224257324625108719725230414799851711599e-1,9.9999977741996985931650078747509993028141406e-1,2.8856620202628087754546925912364679776950367e-4
27,2.679608376559373191e-4,0.250050252381,0.750083740005,3.7150914123,-0.2579324928,0.9999997933,576,-2.5793249282184736100237162353114307299850582e-1,9.9999979330827854540859437571052377302479807e-1,2.6796083765593729791579730242260398124217362e-4
28,2.494862118268821420e-4,0.250046787094,0.750077966386,3.7150125225,0.2579327172,0.9999998076,582,2.5793271721089221745870330832836113174606938e-1,9.9999980755431140091458428216394551747506037e-1,2.4948621182688216873716816258329958993711734e-4
29,2.328583607191746761e-4,0.250043668286,0.750072769932,3.7149415210,-0.2579329192,0.9999998204,587,-2.5793291918385840085337544073379354261843583e-1,9.9999982037682609997557231867962039637534923e-1,2.3285836071917468875773468837178202619470106e-4
30,2.178390963463437170e-4,0.250040851257,0.750068076200,3.7148773899,0.2579331016,0.9999998320,592,2.5793310162964448398658873668743380179682583e-1,9.9999983195933592267217314025724682618004253e-1,2.1783909634634372113724660974299698097528871e-4
31,2.042274287489750928e-4,0.250038298291,0.750063822375,3.7148192706,-0.2579332670,0.9999998425,598,-2.5793326698638285446014458209412507069704478e-1,9.9999984245670993312553592181740147648512758e-1,2.0422742874897509979780737883282696655103041e-4
32,1.918528065296899363e-4,0.250035977386,0.750059955152,3.7147664345,0.2579334173,0.9999998520,603,2.5793341732327105472093237890498073179511741e-1,9.9999985200037500291938383025201327787613338e-1,1.9185280652968994217746253655364104924277097e-4
33,1.805697481860462652e-4,0.250033861243,0.750056429065,3.7147182600,-0.2579335544,0.9999998607,608,-2.5793355440558380434052385038380013811997692e-1,9.9999986070244818148233981087456847071380014e-1,1.8056974818604627401738218259997212848950031e-4
34,1.702535465552894821e-4,0.250031926465,0.750053205139,3.7146742145,0.2579336797,0.9999998687,614,2.5793367974670316862553191158084037119957143e-1,9.9999986865904357320661239945945477214033436e-1,1.7025354655528947860645717055363763206719299e-4
35,1.607968080504072902e-4,0.250030152903,0.750050249810,3.7146338391,-0.2579337947,0.9999998760,619,-2.5793379465004681734091053135109196810331912e-1,9.9999987595293692950110435781293058425811823e-1,1.6079680805040729373950276532594947918702855e-4
36,1.521066462982798646e-4,0.250028523129,0.750047534050,3.7145967373,0.2579339002,0.9999998827,624,2.5793390024307506126436842297902595088622601e-1,9.9999988265572666062564738549697527627389529e-1,1.5210664629827985266576909678795752373474644e-4
37,1.441023924876601130e-4,0.250027022011,0.750045032647,3.7145625643,-0.2579339975,0.9999998888,630,-2.5793399750504176055763757522058360253398895e-1,9.9999988882959716332427556319643072006579287e-1,1.4410239248766010245635640680968258768716976e-4
38,1.367137164909934381e-4,0.250025636353,0.750042723620,3.7145310199,0.2579340873,0.9999998945,635,2.5793408728977056932205756777021291012623242e-1,9.9999989452876595250321743642677585398937409e-1,1.3671371649099345161879475299547795907457439e-4
39,1.298790766462779012e-4,0.250024354611,0.750040587739,3.7145018412,-0.2579341703,0.9999998998,640,-2.5793417034445009401842882043683667121965123e-1,9.9999989980067777149899346213988061531306547e-1,1.2987907664627789170967285759348486228963479e-4
40,1.235444341005285354e-4,0.250023166648,0.750038608113,3.7144747974,0.2579342473,0.9999999047,646,2.5793424732522375880920757574181994038763884e-1,9.9999990468699500307553818735777370703926026e-1,1.2354443410052854280940544010517778308300345e-4
41,1.176621813448275138e-4,0.250022063534,0.750036769864,3.7144496853,-0.2579343188,0.9999999092,651,-2.5793431881018415964927829109511743401591884e-1,9.9999990922442314524574735176268831289635030e-1,1.1766218134482751967860626819583469805705223e-4
42,1.121902451084190162e-4,0.250021037375,0.750035059845,3.7144263250,0.2579343853,0.9999999134,656,2.5793438531025422827738269197749025322055860e-1,9.9999991344540201061845627681610479125766236e-1,1.1219024510841901255572632429887922966694974e-4
43,1.070913319231331660e-4,0.250020081178,0.750033466400,3.7144045574,-0.2579344473,0.9999999174,662,-2.5793444727833899441059170366994835515974031e-1,9.9999991737868704277742339744941152735460989e-1,1.0709133192313315980000192260015519649460399e-4
44,1.023322910043906239e-4,0.250019188723,0.750031979168,3.7143842410,0.2579345051,0.9999999210,667,2.5793450511705506859460067173422436069184929e-1,9.9999992104984026887610961475132090420647481e-1,1.0233229100439062687211961601578813112417416e-4
45,9.788357405348248157e-5,0.250018354468,0.750030588916,3.7143652494,-0.2579345592,0.9999999245,672,-2.5793455918528494759981961388096497692104424e-1,9.9999992448164659193257864049234438357904195e-1,9.7883574053482485893075094457162698781541898e-5
46,9.371877548974421072e-5,0.250017573460,0.750029287392,3.7143474701,0.2579346098,0.9999999277,678,2.5793460980375597850272328893053342453174367e-1,9.9999992769446812171972300381546038418187286e-1,9.3718775489744214420279891001202919063253811e-5
47,8.981423971219531545e-5,0.250016841262,0.750028067202,3.7143308019,-0.2579346573,0.9999999307,683,-2.5793465725980638742808919182162760382309128e-1,9.9999993070654686396700369380198190636579411e-1,8.9814239712195313627407089627837890058870049e-5
48,8.614872445061893570e-5,0.250016153891,0.750026921708,3.7143151542,0.2579347018,0.9999999335,688,2.5793470181147097907414862839339155754273779e-1,9.9999993353426419355229880838761895226135346e-1,8.6148724450618930393857726137169526760495382e-5
49,8.270311123457016337e-5,0.250015507760,0.750025844936,3.7143004453,-0.2579347437,0.9999999362,694,-2.5793474369099526690636706086890554589400325e-1,9.9999993619236402182945845995987322747243866e-1,8.2703111234570160267280499905599470714831388e-5
50,7.946015559147721734e-5,0.250014899634,0.750024831496,3.7142866016,0.2579347831,0.9999999387,699,2.5793478310786761862173531352503048773604750e-1,9.9999993869414534963964199522908439105588047e-1,7.9460155591477217434618038433846336683915128e-5
51,7.640427086342378108e-5,0.250014326591,0.750023876517,3.7142735566,-0.2579348203,0.9999999411,704,-2.5793482025144351013769297304590404186646959e-1,9.9999994105162891313022421820383311607541449e-1,7.6404270863423786785747725536106799096086619e-5
