# wt_growth c=3 e=1 p=288230376151711687 (index 0) dmax=120
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 2
13 875 0 0 0.0 3
14 1345 56 0 0.0 3
15 2066 0 0 0.0 3
16 3203 44 0 0.0 3
17 4971 0 0 0.0 3
18 7574 212 0 0.1 3
19 11526 0 0 0.1 3
20 17607 190 0 0.1 4
21 26922 0 0 0.1 4
22 40696 762 0 0.1 5
23 61515 0 0 0.2 6
24 93141 772 0 0.3 7
25 141102 0 0 0.4 10
26 212203 2698 0 0.6 13
27 319130 0 0 0.8 18
28 480050 2986 0 1.2 26
29 722596 0 0 1.6 38
30 1082563 9314 0 2.2 55
31 1622074 0 0 3.1 81
32 2429021 11188 0 4.2 118
33 3639616 0 0 5.7 177
34 5437514 31844 0 7.9 260
35 8125443 0 0 11.2 390
36 12131416 40752 0 16.1 577
37 18121687 0 0 23.4 864
38 27017353 107442 0 33.4 1334
39 40289995 0 0 48.0 1888
40 60027629 145024 0 70.0 2493
# GUARD stop at d=41 projected 3062 MB
