# wt_growth c=5 e=-8 p=288230376151711687 (index 0) dmax=41
# d u_d translations_in_sphere samesphere_hits secs maxrss_mb
0 1 1 0 0.0 2
1 3 0 0 0.0 2
2 5 0 0 0.0 2
3 8 0 0 0.0 2
4 13 0 0 0.0 2
5 21 0 0 0.0 2
6 34 4 0 0.0 2
7 55 0 0 0.0 2
8 89 2 0 0.0 2
9 144 0 0 0.0 2
10 225 14 0 0.0 2
11 351 0 0 0.0 2
12 554 10 0 0.0 3
13 875 0 0 0.0 3
14 1345 56 0 0.0 3
15 2066 0 0 0.0 3
16 3203 44 0 0.0 3
17 4971 0 0 0.1 3
18 7574 212 0 0.1 3
19 11543 0 0 0.1 3
20 17683 206 0 0.1 4
21 27108 0 0 0.1 4
22 41067 774 0 0.2 5
23 62263 0 0 0.2 6
24 94622 886 0 0.3 8
25 143881 0 0 0.4 10
26 217101 2824 0 0.6 14
27 327832 0 0 0.8 19
28 495443 3700 0 1.1 27
29 749195 0 0 1.6 39
30 1127236 10184 0 2.2 57
31 1697179 0 0 3.2 85
32 2554961 14890 0 4.3 125
33 3848384 0 0 5.9 189
34 5777651 36870 0 8.2 277
35 8679441 0 0 11.7 412
36 13031206 58286 0 16.9 621
37 19574659 0 0 24.6 921
38 29338781 133328 0 36.3 1431
39 43997337 0 0 54.2 1759
40 65932178 223598 0 79.6 2575
