overhang=0 fmax=1 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, 1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=30 lo=-12 a=[1, 1, -1, -1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, -1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=30 lo=-12 a=[1, -1, -1, -1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
IMPW=10 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[-1, 1, -1, 1, 1, 1, 1, -1, -1, 1, 1, -3] | ell_T=30
IMPW=9 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, -1, 1, -1, -1, 1, 1, -1, -1, 1, 1, -3] | ell_T=30
IMPW=10 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[-1, 1, -1, -1, 1, -1, -1, -1, -1, 1, 1, -3] | ell_T=30
IMPW=10 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[-1, -1, -1, -1, -1, 1, 1, -1, -1, 1, 1, -3] | ell_T=30
IMPW=10 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[-1, 1, -1, 1, -1, 1, -1, -1, -1, 1, 1, -3] | ell_T=30
IMPW=10 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[-1, -1, 1, -1, 1, 1, 1, -1, -1, 1, 1, -3] | ell_T=30
IMPW=10 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[-1, 1, -1, -1, 1, 1, -1, 1, 1, 1, 1, -3] | ell_T=30
IMPW=9 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, 1, 1, 1, 1, -1, -1, -1, -1, 1, 1, -3] | ell_T=30
IMPW=9 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, -3, 1, -1, -1, 1, 1, -1, -1, 1, 1, -1] | ell_T=30
IMPW=9 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, 1, 1, -1, -1, 1, -1, -1, 1, 1, -1, -3] | ell_T=30
IMPW=9 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, 3, 1, 1, 1, -1, -1, -1, -1, 1, 1, -1] | ell_T=30
IMPW=9 | h: len=32 eps=-1 dl=0 k=-12 lo=-12 a=[1, 1, 1, -1, -1, 1, 1, -1, 1, 1, -1, -3] | ell_T=30
overhang=0 fmax=1 | h: len=30 eps=-1 dl=0 k=-11 lo=-11 a=[1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=28 lo=-11 a=[1, -1, -1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=30 eps=-1 dl=0 k=-11 lo=-11 a=[-1, -1, -1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=28 lo=-11 a=[-1, -1, -1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=1 fmax=1 | h: len=32 eps=-1 dl=0 k=-10 lo=-10 a=[1, -1, -1, 5, -1, -1, -1, 1, 1, 1] | h*: len=30 lo=-11 a=[4, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1] | f: lo=-11 [1, 0, -1]
overhang=1 fmax=1 | h: len=32 eps=-1 dl=0 k=-10 lo=-10 a=[1, -1, -1, 1, 1, -5, -1, 1, 1, 1] | h*: len=30 lo=-11 a=[4, -1, -1, 1, 1, -1, -1, -1, 1, 1, 1] | f: lo=-11 [1, 0, -1, 0, 1]
overhang=0 fmax=1 | h: len=28 eps=-1 dl=0 k=-10 lo=-10 a=[-1, -1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=26 lo=-10 a=[-1, -1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=28 eps=-1 dl=0 k=-10 lo=-10 a=[-1, -1, 1, 1, -1, 1, -1, 1, 1, -3] | h*: len=26 lo=-10 a=[-1, -1, 1, 1, -1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=0 fmax=1 | h: len=26 eps=-1 dl=0 k=-9 lo=-9 a=[-1, 1, 1, -1, -1, -1, -1, 1, -3] | h*: len=24 lo=-9 a=[-1, 1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=26 eps=-1 dl=0 k=-9 lo=-9 a=[-1, 1, 1, -1, 1, -1, 1, 1, -3] | h*: len=24 lo=-9 a=[-1, 1, 1, -1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=1 fmax=1 | h: len=30 eps=-1 dl=0 k=-9 lo=-9 a=[1, -5, 1, 1, -1, -1, 1, 1, 1] | h*: len=28 lo=-10 a=[4, -1, -1, 1, 1, -1, -1, 1, 1, 1] | f: lo=-10 [1]
overhang=1 fmax=1 | h: len=30 eps=-1 dl=0 k=-9 lo=-9 a=[1, -1, -1, 1, 1, -5, 1, 1, 1] | h*: len=28 lo=-10 a=[4, -1, -1, 1, 1, -1, -1, 1, 1, 1] | f: lo=-10 [1, 0, -1, 0, 1]
overhang=0 fmax=1 | h: len=24 eps=-1 dl=0 k=-8 lo=-8 a=[1, 1, -1, -1, -1, -1, 1, -3] | h*: len=22 lo=-8 a=[1, 1, -1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=24 eps=-1 dl=0 k=-8 lo=-8 a=[1, 1, -1, 1, -1, 1, 1, -3] | h*: len=22 lo=-8 a=[1, 1, -1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
