overhang=0 fmax=1 | h: len=20 eps=-1 dl=0 k=-6 lo=-6 a=[-1, -1, -1, -1, 1, -3] | h*: len=18 lo=-6 a=[-1, -1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=20 eps=-1 dl=0 k=-6 lo=-6 a=[-1, 1, -1, 1, 1, -3] | h*: len=18 lo=-6 a=[-1, -3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=0 fmax=1 | h: len=18 eps=-1 dl=0 k=-5 lo=-5 a=[-1, -1, -1, 1, -3] | h*: len=16 lo=-5 a=[-1, -1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=18 eps=-1 dl=0 k=-5 lo=-5 a=[1, -1, 1, 1, -3] | h*: len=16 lo=-5 a=[-3, 1, 1, -1, 1] | f: lo=-5 [-1, 0, 1]
overhang=0 fmax=1 | h: len=16 eps=-1 dl=0 k=-4 lo=-4 a=[-1, -1, 1, -3] | h*: len=14 lo=-4 a=[-1, 3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=16 eps=-1 dl=0 k=-4 lo=-4 a=[1, -1, 1, -3] | h*: len=14 lo=-4 a=[1, 3, -1, 1] | f: lo=-3 [1]
overhang=1 fmax=1 | h: len=20 eps=-1 dl=0 k=-4 lo=-4 a=[1, -5, 1, 1] | h*: len=18 lo=-5 a=[4, -1, -1, 1, 1] | f: lo=-5 [1]
overhang=1 fmax=1 | h: len=20 eps=-1 dl=0 k=-4 lo=-4 a=[1, -1, -1, 5] | h*: len=18 lo=-5 a=[4, -1, -1, 1, 1] | f: lo=-5 [1, 0, -1]
overhang=0 fmax=1 | h: len=14 eps=-1 dl=0 k=-3 lo=-3 a=[-1, 1, -3] | h*: len=12 lo=-3 a=[3, -1, 1] | f: lo=-3 [1]
overhang=0 fmax=1 | h: len=14 eps=-1 dl=0 k=-3 lo=-3 a=[-3, 1, -1] | h*: len=12 lo=-3 a=[1, -1, 3] | f: lo=-3 [1]
overhang=1 fmax=1 | h: len=18 eps=-1 dl=0 k=-3 lo=-3 a=[-1, -3, -3] | h*: len=16 lo=-4 a=[4, 1, -1, 1] | f: lo=-4 [1, 1]
overhang=1 fmax=1 | h: len=18 eps=-1 dl=0 k=-3 lo=-3 a=[1, -5, 1] | h*: len=16 lo=-4 a=[4, -1, -1, 1] | f: lo=-4 [1]
overhang=1 fmax=1 | h: len=16 eps=-1 dl=0 k=-2 lo=-2 a=[-1, -1, -4] | h*: len=14 lo=-3 a=[4, 1, 1] | f: lo=-3 [1, 1]
overhang=1 fmax=1 | h: len=16 eps=-1 dl=0 k=-2 lo=-2 a=[3, -3] | h*: len=14 lo=-3 a=[4, 1, 1] | f: lo=-3 [1]
overhang=2 fmax=1 | h: len=20 eps=-1 dl=0 k=-1 lo=-2 a=[-4, -3] | h*: len=18 lo=-1 a=[-1, 2, 4] | f: lo=-2 [1, 1]
overhang=2 fmax=1 | h: len=16 eps=-1 dl=0 k=0 lo=0 a=[-2, -4] | h*: len=14 lo=-2 a=[4, 2] | f: lo=-2 [1, 1]
