# zeta_toy_growth FAST (Klein-orbit reps, u128 exact packing) c=1 e=1 dmax=25 passes=8
# d u_d k0_in_sphere max_abs_k reps secs maxrss_mb
0 1 1 0 1 0.0 2
1 4 2 1 2 0.0 2
2 12 2 2 4 0.0 2
3 36 6 3 10 0.0 2
4 72 10 4 19 0.0 2
5 122 16 5 32 0.0 2
6 188 22 6 48 0.0 2
7 264 26 7 67 0.0 2
8 354 32 8 90 0.0 2
9 456 38 9 115 0.0 2
10 570 44 10 144 0.0 2
11 696 50 11 175 0.0 2
12 834 56 12 210 0.0 3
13 984 62 13 247 0.0 3
14 1146 68 14 288 0.0 3
15 1320 74 15 331 0.0 3
16 1506 80 16 378 0.0 3
17 1704 86 17 427 0.0 3
18 1914 92 18 480 0.0 3
19 2136 98 19 535 0.0 3
20 2370 104 20 594 0.0 3
21 2616 110 21 655 0.0 3
22 2874 116 22 720 0.0 3
23 3144 122 23 787 0.0 3
24 3426 128 24 858 0.0 3
25 3720 134 25 931 0.0 3
