# zeta_toy_growth c=1 e=3 mode=lin dmax=30 (generators a=translation by 1, r=shift)
# d u_d k0_in_sphere max_abs_k secs maxrss_mb
0 1 1 0 0.0 2
1 4 2 1 0.0 2
2 12 2 2 0.0 2
3 30 4 3 0.0 2
4 70 8 4 0.0 2
5 158 12 5 0.0 2
6 346 20 6 0.0 3
7 742 36 7 0.0 3
8 1566 56 8 0.0 3
9 3270 92 9 0.0 3
10 6762 156 10 0.0 3
11 13886 244 11 0.0 4
12 28366 400 12 0.0 4
13 57678 652 13 0.1 6
14 116890 1028 14 0.1 9
15 236246 1668 15 0.2 15
16 476414 2664 16 0.4 27
17 959126 4220 17 0.6 50
18 1928266 6764 18 1.1 96
19 3872430 10708 19 2.0 187
20 7770158 16960 20 3.7 370
21 15580318 26924 21 7.2 736
22 31223930 42452 22 14.0 1469
# GUARD stop at d=23 projected 2691 MB
